TIME,LABEL
0.336520833,4
1.032770833,1
1.729020833,2
2.425270833,3
3.121520833,4
3.817770833,1
4.525625000,2
5.221875000,3
5.918125000,4
6.614375000,1
7.299020833,2
8.006875000,3
8.714729167,4
9.410979167,1
10.107229167,2
10.803479167,3
11.499729167,4
12.195979167,1
12.892229167,2
13.600083333,3
14.296333333,4
14.992583333,1
15.688833333,2
16.385083333,3
17.081333333,4
17.777583333,1
18.473833333,2
19.170083333,3
19.877937500,4
20.574187500,1
21.270437500,2
21.966687500,3
22.662937500,4
23.359187500,1
24.067041667,2
24.763291667,3
25.459541667,4
26.155791667,1
26.852041667,2
27.548291667,3
28.244541667,4
28.940791667,1
29.637041667,2
30.333291667,3
31.029541667,4
31.737395833,1
32.433645833,2
33.129895833,3
33.826145833,4
34.522395833,1
35.218645833,2
35.914895833,3
36.622750000,4
37.319000000,1
38.015250000,2
38.711500000,3
39.407750000,4
40.104000000,1
40.800250000,2
41.496500000,3
42.204354167,4
42.900604167,1
43.596854167,2
44.293104167,3
44.989354167,4
45.674000000,1
46.381854167,2
47.078104167,3
47.785958333,4
48.482208333,1
49.178458333,2
49.874708333,3
50.570958333,4
51.267208333,1
51.963458333,2
52.659708333,3
53.355958333,4
54.063812500,1
54.760062500,2
55.456312500,3
56.152562500,4
56.848812500,1
57.545062500,2
58.241312500,3
58.937562500,4
59.645416667,1
60.341666667,2
61.037916667,3
61.734166667,4
62.430416667,1
63.126666667,2
63.822916667,3
64.519166667,4
65.215416667,1
65.923270833,2
66.619520833,3
67.315770833,4
68.012020833,1
68.708270833,2
69.392916667,3
70.100770833,4
70.797020833,1
71.481666667,2
72.177916667,3
72.897375000,4
73.593625000,1
74.289875000,2
74.986125000,3
75.682375000,4
76.378625000,1
77.074875000,2
77.771125000,3
78.478979167,4
79.175229167,1
79.871479167,2
80.567729167,3
81.263979167,4
81.960229167,1
82.656479167,2
83.364333333,3
84.060583333,4
84.756833333,1
85.453083333,2
86.149333333,3
86.845583333,4
87.541833333,1
88.238083333,2
88.945937500,3
89.642187500,4
90.338437500,1
91.034687500,2
91.730937500,3
92.415583333,4
93.111833333,1
93.819687500,2
94.515937500,3
95.212187500,4
95.920041667,1
96.627895833,2
97.335750000,3
98.043604167,4